After You
Apple Acid
Armor Cannon
Assist
Astral Barrage
Aura Wheel
Baneful Bunker
Beak Blast
Behemoth Bash
Behemoth Blade
Belch
Bestow
Blazing Torque
Body Press
Branch Poke
Breaking Swipe
Celebrate
Chatter
Chilling Water
Chilly Reception
Clangorous Soul
Collision Course
Combat Torque
Comeuppance
Copycat
Counter
Covet
Crafty Shield
Decorate
Destiny Bond
Detect
Diamond Storm
Doodle
Double Iron Bash
Double Shock
Dragon Ascent
Dragon Energy
Drum Beating
Dynamax Cannon
Electro Drift
Endure
Eternabeam
False Surrender
Feint
Fiery Wrath
Fillet Away
Fleur Cannon
Focus Punch
Follow Me
Freeze Shock
Freezing Glare
Glacial Lance
Grav Apple
Helping Hand
Hold Hands
Hyper Drill
Hyperspace Fury
Hyperspace Hole
Ice Burn
Instruct
Jet Punch, Water
Jungle Healing, Grass
King's Shield, Steel
Life Dew, Water
Light of Ruin, Fairy
Make It Rain, Steel
Magical Torque, Fairy
Mat Block, Fighting
Me First, Normal
Meteor Assault, Fighting
Mimic, Normal
Mind Blown, Fire
Mirror Coat, Psychic
Mirror Move, Flying
Moongeist Beam, Ghost
Nature Power, Normal
Nature's Madness, Fairy
Noxious Torque, Poison
Obstruct, Dark
Order Up, Dragon
Origin Pulse, Water
Overdrive, Electric
Photon Geyser, Psychic
Plasma Fists, Electric
Population Bomb, Normal
Pounce, Bug
Power Shift, Normal
Precipice Blades, Ground
Protect, Normal
Pyro Ball, Fire
Quash, Dark
Quick Guard, Fighting
Rage Fist, Ghost
Rage Powder, Bug
Raging Bull, Normal
Raging Fury, Fire
Relic Song, Normal
Revival Blessing, Normal
Ruination, Dark
Salt Cure, Rock
Secret Sword, Fighting
Shed Tail, Normal
Shell Trap, Fire
Silk Trap, Bug
Sketch, Normal
Sleep Talk, Normal
Snap Trap, Grass
Snarl, Dark
Snatch, Dark
Snore, Normal
Snowscape, Ice
Spectral Thief, Ghost
Spicy Extract, Grass
Spiky Shield, Grass
Spirit Break, Fairy
Spotlight, Normal
Steam Eruption, 
Steel Beam, 
Strange Steam, Fairy
Struggle, 
Sunsteel Strike, Steel
Surging Strikes, Water
Switcheroo, 
Techno Blast, Normal
Thief, Dark
Thousand Arrows, Ground
Thousand Waves, Ground
Thunder Cage, Electric
Thunderous Kick, Fighting
Tidy Up, Normal
Trailblaze, Grass
Transform, Normal
Trick, Psychic
Twin Beam, Psychic
V-create, Fire
Wicked Blow, Dark
Wicked Torque, Dark
Wide Guard
